id,distancia,rota
1,626.596023237296,"[ 1 13 12 10 11 14  7  2  3  1  4 17 16 15 18 23 21  1 19 20 22  5  6  9
  8  1]"
2,626.596023237296,"[ 1 13 12 10 11 14  7  2  3  1  4 17 16 15 18 23 21  1 19 20 22  5  6  9
  8  1]"
3,634.6544711971012,"[ 1  7  2  3  4 17 16 18 15  1  8 22 20 23 21 19 13  1  9  5  6 10 11 14
 12  1]"
4,604.1535332966658,"[ 1 14 11 10  9  6  5 22  8  1 13 15 18 23 21 20 19  1 12  7  2  3  4 16
 17  1]"
5,619.9068803306144,"[ 1 20 21 23 18 15 16 17  4  1 12 10 11 14  7  2  3  1 13  8  9  6  5 22
 19  1]"
6,701.4505998433855,"[ 1 13 12 14 11  7  2  1 15 18 16 17  4  3  1  8  9  5  6 10  1 22 20 23
 21 19  1]"
7,670.8320568304941,"[ 1 21 23 18 15 16 17  4  3  1 12 14  8  9 22 20 19  1  5  6 10 11  7  2
 13  1]"
8,641.6428676067466,"[ 1  7  2  3  4 16 17  1 15 18 23 21 20 19  1 22  5  6  9  8  1 13 12 14
 11 10  1]"
9,699.4817331785637,"[ 1  9  5  6 10 11  4 16 17  1 21 23 18 15  3  2  7  1 19 20 22  8 14 12
 13  1]"
10,672.3405147015961,"[ 1 20 21 23 18 16  4  2  7  1 13 10  9  6  5 22  8  1 12 14 11  3 17 15
 19  1]"
11,604.1535332966657,"[ 1 14 11 10  9  6  5 22  8  1 12  7  2  3  4 16 17  1 13 15 18 23 21 20
 19  1]"
12,671.6588173193624,"[ 1  9  5  6  2  4  3  7 13  1 17 16 15 18 23 21 20  1 12 14 11 10  8 22
 19  1]"
13,625.8538087352413,"[ 1  7  2  3  4 17 16 18 15  1 13  8 22 20 23 21 19  1  9  5  6 10 11 14
 12  1]"
14,625.5738669966938,"[ 1 12 11 10  9  6  5 22  8  1 15 16 18 23 21 20 19  1 13 14  7  2  3  4
 17  1]"
15,651.9015918429182,"[ 1  9  6  5 22 20 23 21 19  1 15 18 16 17  4  3  2  1  8 10 11 14  7 12
 13  1]"
16,685.4243233974571,"[ 1  2  3  4 17 16 15 18 23  1  8  9  5  6 10 11 14  1 19 21 20 22 12  7
 13  1]"
17,616.9401446341137,"[ 1 12 14 11 10  6  5  9  8  1 22 19 20 21 23 18 15  1 13  3 17 16  4  2
  7  1]"
18,614.4604576496487,"[ 1 12 14 11 10  6  5  9  8  1 13  7  2  3  4 16 17  1 22 19 20 21 23 18
 15  1]"
19,604.1535332966657,"[ 1 14 11 10  9  6  5 22  8  1 17 16  4  3  2  7 12  1 19 20 21 23 18 15
 13  1]"
20,630.3557625617511,"[ 1 13 12 10  9  6  5 22  8  1 19 20 21 23 18 16 15  1 11 14  7  2  3  4
 17  1]"
