id,distancia,rota
1,562.4917087370559,"[ 1 47 48  5 19 26 15 25 44 24  7  1 28  2  9 23  3 30 22 51 17 12  1 33
 21 36 37  4 29 32 27  8 49  1 13 18 38 16 45 43 20 41 42 14  1 39 10 35
 31 40 34 46 11 50  6  1]"
2,675.9298549576769,"[ 1  2 23 21 30 22 51 10 39  1 50 11 40 31 35 17  3  1 38 45 43 20 41 42
 19  1  7 15 44  8 24 49 28  1 47 16 46 34  6 12 33  1 36 37  4 29 32 27
  9  1 25 26 14  5 18 48 13  1]"
3,553.2907345541475,"[ 1 19  5 43 20 41 42 14 26 15  7  1 12 39 17 51 35 31 10 50  6 47  1 48
 18 38 45 46 34 40 11 16 13  1  3 22 30 21 36 37  4 23  2 33  1 24 25 44
  8 27 32 29  9 49 28  1]"
4,534.5887974622403,"[ 1  6 11 40 34 46 16 45 38 18 13  1 19 15 26 14 42 41 20 43  5 48  1 39
 10 51 17 30 22 35 31 50 47  1 33  2 23 29  4 37 36 21  3 12  1  7 24 25
 44  8 27 32  9 49 28  1]"
5,582.0087080068422,"[ 1 15 26 19  5 18 48 13  6 39 47  1 10 50 11 40 31 35 22 51 17 12  1  8
 27 32 29  4 37 36 21 30  3  1 38 16 34 46 45 43 20 41 42 14  1 28  7 25
 44 24 49  9 23  2 33  1]"
6,652.1951175545591,"[ 1 18 42  7 49  8 27 32  9 28  1 14 41 20 43 45 46 34 16 38  1 47 12 51
 35 22 17  2 33  1  3 30 21 36 37  4 29 23  1 39 10 31 40 11 50  6 13  1
 24 44 25 15 26 19  5 48  1]"
7,583.4745000415909,"[ 1  2 23 33 12 39  6 38 18  5 13  1 50 11 34 40 31 35 22 30 51 10  1 16
 46 45 43 20 41 42 14 19 48  1 28 32 29  4 37 36 21  3 17 47  1  7 15 26
 25 44 24  8 27  9 49  1]"
8,676.8625576186794,"[ 1 47 50 11 34 46 16 45 38  1 43 20 41 42 14 26 19  1 33 21 36 37  4 29
 23  1 12 51 35 31 40 10 39  1  2  9 32  3 30 22 17  1 15 25 44 24  8 27
 49  1 13  6 18  5 48  7 28  1]"
9,562.0015975615219,"[ 1  2 23  4 29 32  9 27  8 49 28  1 33  3 21 37 36 30 22 35 51 17  1 12
 39 10 31 40 34 11 50  6 47  1 13 18 38 16 46 45 43 20 41 42  1 48  5 19
 14 26 15 25 44 24  7  1]"
10,612.3189566996292,"[ 1 47 12 50 11 31 40 34 46 16 38  1 48 19  5 18  6 51 17  3  2 33  1 39
 10 35 22 30 21 23 49  7 28  1 25 15 26 14 42 41 20 43 45 13  1 36 37  4
 29 32  9 27  8 44 24  1]"
11,582.2995847292538,"[ 1 39 10 51 35 31 40 16 38 18 13  1  5 20 41 43 45 46 34 11 50  6  1 47
 12 17 22 30 21  3 23  2 28  1 49  8 27  9 32 29  4 37 36 33  1 48 19 42
 14 26 15 25 44 24  7  1]"
12,636.5083724754603,"[ 1 43 46 34 40 11 31 10 51 17  1  3 21 37 36 30 22 35 50  6  1 25 44  8
 24 49 28 12 39  1 47 13 48 19 14 26 15  7  1  9 27 32 29  4 23  2 33  1
  5 42 41 20 45 16 38 18  1]"
13,640.5083257359996,"[ 1 17 51 35 22 30 21 29 32 28  1  7 25 15 26  5 18 45 16 38  1 49  9 27
  8 44 24 48 13  1 33 12  3 36 37  4 23  2  1 47  6 50 11 40 31 10 39  1
 34 46 43 20 41 42 14 19  1]"
14,552.3570683326701,"[ 1 33  3  4 37 36 21 30 22 17 12  1  7 44 25 15 26 14 42 41 20 43  1  6
 50 11 34 40 31 35 51 10 39  1 48 19  5 18 45 46 16 38 13 47  1  2 23 29
 32  9 27  8 24 49 28  1]"
15,576.7338745125213,"[ 1 49  9 27 32 29  4 37 36 21  3  1 22 35 31 50 11 40 34 46 16 45  1 48
  5 43 20 41 42 14 26 15 19  1 13 18 38  6 39 10 51 30 17 12  1 47 33 23
  2 28 24  8 44 25  7  1]"
16,689.0254526400138,"[ 1 15 26 14 42 41 20 43  1  6 50 11 40 34 46 16  1 48  5 18 45 38 13  1
 47 19 25 44 24  7  1 10 31 35 22 51 12  1  2  9 27  8 49 28  1 33  3  4
 29 32 23  1 21 37 36 30 17 39  1]"
17,625.3264003539039,"[ 1 47 12 39 10 31 40 34 46 11  1 13  6 50 17 51 35 22 30  3  1 48  5 20
 43 45 16 38 18  1  2 23 29  4 37 36 21 33  1 19 42 41 14 26 15  7 28  1
 25 44  8 27 32  9 49 24  1]"
18,577.9034083766968,"[ 1 12 39 17 35 31 11 40 34 46 16  1 47 13  6 50 10 51 22 30  3 33  1 38
 45 43 41 14 26 25 44  8 24  1 28 49  7 15 19  5 42 20 18 48  1  9 27 32
 29  4 37 36 21 23  2  1]"
19,663.4149109744324,"[ 1 13 42 41 46 34 40 11 50 17 39  1 19 26 15 25 44 32 29 23 33 28  1 38
 18 14 20 43 45 16 31 10  6  1 48  5  7 49 24  8 27  9  2 47  1  3  4 37
 36 21 30 22 35 51 12  1]"
20,572.0768731106328,"[ 1 12  3 23 29 32  9 27  8 24  7  1 48  5 19 26 15 25 44 49  2 28  1 14
 42 41 20 43 45 46 16 38 18  1 10 51 35 31 40 34 11 50  6 13  1 47 39 17
 22 30 21 36 37  4 33  1]"
