=== Log do EVRP - Instância Modificatification of E-n23-k3 instance. Modified by Mavrovouniotis Menelaou. ===
Clientes: 22
Veículos mínimos: 3

=== Histórico de Melhores Distâncias ===
Geração 0: 1213.76
Geração 1: 1161.08
Geração 2: 1097.17
Geração 3: 1028.44
Geração 4: 1025.71
Geração 5: 1025.71
Geração 6: 1014.49
Geração 7: 1014.49
Geração 8: 966.22
Geração 9: 966.22
Geração 10: 966.22
Geração 11: 966.22
Geração 12: 965.15
Geração 13: 905.56
Geração 14: 840.69
Geração 15: 840.69
Geração 16: 820.06
Geração 17: 820.06
Geração 18: 820.06
Geração 19: 809.52
Geração 20: 789.62
Geração 21: 780.76
Geração 22: 779.07
Geração 23: 779.07
Geração 24: 779.07
Geração 25: 779.07
Geração 26: 779.07
Geração 27: 779.07
Geração 28: 779.07
Geração 29: 779.07
Geração 30: 779.07
Geração 31: 765.82
Geração 32: 765.82
Geração 33: 765.82
Geração 34: 744.82
Geração 35: 744.82
Geração 36: 744.82
Geração 37: 744.82
Geração 38: 744.82
Geração 39: 744.82
Geração 40: 742.31
Geração 41: 731.00
Geração 42: 731.00
Geração 43: 715.95
Geração 44: 715.95
Geração 45: 715.95
Geração 46: 715.95
Geração 47: 715.95
Geração 48: 715.95
Geração 49: 715.95
Geração 50: 715.95
Geração 51: 702.13
Geração 52: 702.13
Geração 53: 702.13
Geração 54: 702.13
Geração 55: 689.01
Geração 56: 689.01
Geração 57: 689.01
Geração 58: 689.01
Geração 59: 689.01
Geração 60: 689.01
Geração 61: 689.01
Geração 62: 689.01
Geração 63: 689.01
Geração 64: 689.01
Geração 65: 689.01
Geração 66: 689.01
Geração 67: 689.01
Geração 68: 689.01
Geração 69: 689.01
Geração 70: 678.77
Geração 71: 678.77
Geração 72: 678.77
Geração 73: 678.77
Geração 74: 678.77
Geração 75: 678.77
Geração 76: 678.77
Geração 77: 678.77
Geração 78: 678.77
Geração 79: 678.77
Geração 80: 678.77
Geração 81: 678.77
Geração 82: 678.77
Geração 83: 678.77
Geração 84: 678.77
Geração 85: 678.77
Geração 86: 678.77
Geração 87: 678.77
Geração 88: 678.77
Geração 89: 678.77
Geração 90: 678.77
Geração 91: 678.77
Geração 92: 678.77
Geração 93: 678.77
Geração 94: 678.77
Geração 95: 678.77
Geração 96: 678.77
Geração 97: 678.77
Geração 98: 678.77
Geração 99: 660.95
Geração 100: 660.95
Geração 101: 660.95
Geração 102: 660.95
Geração 103: 660.95
Geração 104: 660.95
Geração 105: 660.95
Geração 106: 660.95
Geração 107: 660.95
Geração 108: 660.95
Geração 109: 652.18
Geração 110: 652.18
Geração 111: 652.18
Geração 112: 652.18
Geração 113: 652.18
Geração 114: 652.18
Geração 115: 652.18
Geração 116: 652.18
Geração 117: 652.18
Geração 118: 652.18
Geração 119: 652.18
Geração 120: 652.18
Geração 121: 652.18
Geração 122: 652.18
Geração 123: 652.18
Geração 124: 652.18
Geração 125: 652.18
Geração 126: 652.18
Geração 127: 652.18
Geração 128: 652.18
Geração 129: 652.18
Geração 130: 652.18
Geração 131: 652.18
Geração 132: 652.18
Geração 133: 652.18
Geração 134: 652.18
Geração 135: 652.18
Geração 136: 652.18
Geração 137: 652.18
Geração 138: 652.18
Geração 139: 652.18
Geração 140: 652.18
Geração 141: 647.95
Geração 142: 647.95
Geração 143: 647.95
Geração 144: 647.95
Geração 145: 647.95
Geração 146: 647.95
Geração 147: 647.95
Geração 148: 647.95
Geração 149: 647.95
Geração 150: 647.95
Geração 151: 647.95
Geração 152: 647.95
Geração 153: 645.41
Geração 154: 645.41
Geração 155: 645.41
Geração 156: 645.41
Geração 157: 645.41
Geração 158: 645.41
Geração 159: 645.41
Geração 160: 645.41
Geração 161: 645.41
Geração 162: 631.68
Geração 163: 631.68
Geração 164: 631.68
Geração 165: 631.68
Geração 166: 631.68
Geração 167: 631.68
Geração 168: 631.68
Geração 169: 631.68
Geração 170: 631.68
Geração 171: 631.68
Geração 172: 631.68
Geração 173: 631.68
Geração 174: 631.68
Geração 175: 631.68
Geração 176: 631.68
Geração 177: 631.68
Geração 178: 631.68
Geração 179: 631.68
Geração 180: 631.68
