Avaliacoes,Distancia,Onde_Foi_Encontrada,Melhor_Rota
50,1220.2893296729906,População,"[ 1 21 20 15 13  6 18 16 23  1 22  9 14  7  2 17 11  1 19  4  5  8  3 12
 10  1]"
50,1181.7431209072524,Crossover,"[ 1 21 20 15 13  6 18 16 23  1 22  9 10  4 17 11 19  1  5  8  3 12 14  7
  2  1]"
85,1134.063763965295,Crossover,"[ 1 13 15 23 16 18 19  8 11  1 22 14  7  2 17  4  5  1 20 12 21  3  6  9
 10  1]"
190,1005.6826460539132,Crossover,"[ 1 13 15 23 16 18 19  8 11  1 20  9 14  7  2 17  4  1 12 10  5  6 22  3
 21  1]"
295,985.7309138734469,Crossover,"[ 1 21 20 23 16 18 19  8 11  1 22 14  7  2 17  4 12  1  3 15 13  6  9 10
  5  1]"
365,945.0669067897076,Crossover,"[ 1 13 20 23 16 18 19  8 11  1 22  9 14  7  2 17  4  1 12 10  5  6  3 21
 15  1]"
400,934.371185484465,Crossover,"[ 1 13 15 23 16 18 19  8 11  1 22  9 14  7  2 17  4  1 12 10  5  6  3 21
 20  1]"
435,872.815651833965,Crossover,"[ 1 21 20 23 16 18 19 22  9  1 10  2 17  4  3 15 13  1 14 11  8  6  5  7
 12  1]"
820,870.8392169580709,Crossover,"[ 1 21 20 23 16 18 19 22  9  1 10  2 17  4  3 15 13  1  5  6  8 12 14 11
  7  1]"
1065,865.8015715230212,Crossover,"[ 1 21 20 23 16 18 19 22  9  1 10  2 17  4  3 15 13  1  5  6  8 14 11  7
 12  1]"
1380,833.3534744410946,População,"[ 1 21 20 23 16 18 19 22  8  1 10  2 17  4  3 15 13  1  5  6  9 14 11  7
 12  1]"
1850,814.9402733793908,População,"[ 1 21 20 23 16 18 15  3  4  1 17  2 10  8 22 19 13  1  5  6  9 14 11  7
 12  1]"
2165,811.1131038475887,População,"[ 1 21 20 23 16 18 15  3  4  1 17  2 10  8 22 19 13  1  9  6  5 14 11  7
 12  1]"
2235,794.6266432422452,População,"[ 1 21 20 23 16 18 15  3 13  1 19 22  8 10  2 17  4  1  5  6  9 14 11  7
 12  1]"
2410,776.554213908803,Crossover,"[ 1 21 20 23 16 18 15  3 13  1 19 22  8 10  5  6  9  1 14 11  7 12  2 17
  4  1]"
2515,774.8607279920659,Crossover,"[ 1 21 20 23 16 18 15 19 22  1  8 10  5  6  9 14 11  1  7 12  2 17  4  3
 13  1]"
2620,766.6157418748924,População,"[ 1 20 21 23 16 18 15  3 13  1 19 22  8 10  2 17  4  1  5  6  9 14 11  7
 12  1]"
2620,754.9732789488497,Crossover,"[ 1 21 20 23 16 18 15  3 13  1 19 22  8 10  5  6  9  1 14 11 17  4  2  7
 12  1]"
2690,748.5433125414502,Crossover,"[ 1 20 21 23 16 18 15  3 13  1 19 22  8 10  5  6  9  1 14 11  7 12  2 17
  4  1]"
2760,726.9623775814969,Crossover,"[ 1 20 21 23 16 18 15  3 13  1 19 22  8 10  5  6  9  1 14 11 17  4  2  7
 12  1]"
3910,721.5578999490207,Crossover,"[ 1 20 21 23 16 18 15  3 13  1 19 22  8  5  6  9 10  1 14 11 17  4  2  7
 12  1]"
4120,718.4894260487861,Crossover,"[ 1 20 21 23 16 18 15  3 13  1 19 22  8  5  6  9 10  1 14 11 12 17  4  2
  7  1]"
4365,709.3451740634324,Crossover,"[ 1 19 20 21 23 16 18 15  3  1 13 22  8  5  6  9 10  1 14 11 17  4  2  7
 12  1]"
4610,686.1139901607071,Crossover,"[ 1 20 21 23 18 15 16  3 13  1 19 22  8  5  6  9 10  1 14 11 12 17  4  2
  7  1]"
4715,676.9697381753533,Crossover,"[ 1 19 20 21 23 18 15 16  3  1 13 22  8  5  6  9 10  1 14 11 17  4  2  7
 12  1]"
