id,distancia,rota
1,579.2228340037256,"[ 1 28 32 27  8 24 44 25 15 26 19  1  2 23  4 21 36 37 29  9 49  7  1 33
  3 51 10 50 34 46 38 13 47  1 48  5 14 42 41 20 43 45 16 18  1 12 17 30
 22 35 31 40 11 39  6  1]"
2,615.799475617481,"[ 1 25 26 14 42 41 20 43 18  5  1  6 11 40 34 46 16 45 38 13  1 48 19 15
 44  8 24 49  7  1 47 39 50 31 35 51 10 12  1 29 37 36 21 30 22 17  3  1
 28  9 27 32  4 23  2 33  1]"
3,678.7144172548302,"[ 1  7 15 24  2 23  4 36 30 47  1 48  5 43 20 41 42 14 26 19  1 50 40 31
 10 51 17  3 12  1 39 11 35 22 21 37 29 33  1 13 18 45 46 34 16 38  6  1
 28 49  9 32 27  8 44 25  1]"
4,573.250469719516,"[ 1 33  3 17 22 30 21 36 37  4 23  1 12 39 10 51 35 31 40 11 50  6  1 48
 18 20 43 45 46 34 16 38 13  1 47  2  9 29 32 27  8 24 49 28  1  7 44 25
 15 26 19 14 41 42  5  1]"
5,600.1436672992704,"[ 1  3 22 30 21 36 37  4 23 28  1 38 45 16 46 34 40 11 50  6  1 47 39 10
 31 35 51 17 12  1  7 15 19 14 26 25 24 49  1 13 18 43 20 41 42  5 48  1
 44  8 27  9 32 29  2 33  1]"
6,707.3220496595529,"[ 1  9 32 29 37 36 21  3  1 38 16 46 34 11 50  6  1 47 39 17 22 30 33  1
 48  5 42 41 20 43  1 40 31 35 51 10 12  1 13 18 45 14 26 19  1  2 23  4
 27 49 28  1 15 25 44  8 24  7  1]"
7,649.5869208645443,"[ 1  8  9 32 29 23  4 30 22 33  1 19 15 26 14 41 20 42  5 48  1  6 50 11
 40 31 35 51 12  1  3 21 37 36 17 10 39 47  1 18 43 45 46 34 16 38 13  1
 28  2 49 27 24 44 25  7  1]"
8,644.2790680756888,"[ 1 28  7 25 44  8 24 23  3  2 33  1 47  6 50 34 40 11 31 35 22 30  1 29
  4 37 36 21 17 51 10 39 12  1 48 20 41 42 14 19 49 27 32  9  1 15 26  5
 43 45 46 16 38 18 13  1]"
9,611.6269638357669,"[ 1 23 29  4 37 36 21 30 22 31 17  1  6 50 34 40 11 35 51 10 39 33  1 28
 49 44  8 27 32  9  2  3 12  1  7 24 25 15 19  5 18 38 13 47  1 26 14 42
 41 20 43 45 46 16 48  1]"
10,537.9131475612804,"[ 1 28 49  9 32 27  8 44 25 24  7  1 15 26 19 14 42 41 20 43 45 13  1 33
  3 30 21 36 37  4 29 23  2  1 47 39 50 10 31 35 22 51 17 12  1  6 11 40
 34 46 16 38 18  5 48  1]"
11,623.5524991231334,"[ 1 47  6 50 10 35 31 40 11 16 38  1 19 14 41 43 45 46 34 18  5 48  1 12
 51 17  3 36 37 29 23  2 33  1 13 39 22 30 21  4 32 27  9 28  1 20 42 26
 15 25 44  8 24 49  7  1]"
12,568.6006266746497,"[ 1 15 25 44 24  8 27 32 29  9 28  1 50 11 31 40 34 46 45 38 18 13  1 48
  5 19 26 14 42 41 20 43 16  1 33  3 21 36 37  4 23  2 49  7  1 47  6 10
 51 35 22 30 17 39 12  1]"
13,701.2148970473071,"[ 1 50 11 31 40 34 46 16  1 28  9 32 29  4 23  2  1 17 22 35 51 10 39  1
 12  6 48 26 15  7  1 33  3 21 37 36 30  1 47 13 38 45 43 18  1  5 42 20
 41 14 19  1 25 44 24  8 27 49  1]"
14,650.4869265913107,"[ 1 13 38 16 50 40 34 46 45 18 48  1 47  6 39 51 17 30  3  2 33 12  1 49
 24  8 27 29  4 21 23  9 28  1  7 15 26 19 14 42 41 20 43  5  1 25 44 32
 37 36 22 35 10 31 11  1]"
15,637.9449585739482,"[ 1 19 14 43 45 38 39 17 51 30  3  1 47  6 11 16 46 34 40 31 50 12  1 13
 48 18  5 20 41 42 26 15  7  1  9 32 29  4 37 36 21 22 35 10  1 33  2 23
 49 27  8 24 44 25 28  1]"
16,588.0872673679928,"[ 1 15 25 44  8 27  9 49 24  7 28  1 14 42 41 20 43 45 46 34 16 18  1 12
 17 51 30 22 35 31 10 39 47  1 33  3 21 36 37  4 29 32 23  2  1 13  6 50
 11 40 38  5 26 19 48  1]"
17,605.3217632631174,"[ 1 24 44  8 27 23  2 33 17 51 12  1 25 15 26 19 14 41 20 42  5 48  1  3
 30 22 35 31 40 11 10 39 47  1 13 38 18 43 45 16 46 34 50  6  1 28 21 36
 37  4 29 32  9 49  7  1]"
18,575.2793230756574,"[ 1  7 15 26 25 44 24 27  9 49 28  1 13 18 43 20 41 42 14 19  5 48  1  2
 23 30 21 36 37  4 29 32  8  1 12 10 40 31 35 22 51 17  3 33  1 47  6 39
 50 11 34 46 16 45 38  1]"
19,606.0639157903727,"[ 1 15 26 19  5 18 45 46 34 16 38  1 28 27 32 29 23  3 30 22 51 17  1  7
 24  8 44 25 14 42 41 20 43  1 48 13  6 50 11 40 31 35 10 39  1 49  9  2
  4 37 36 21 12 33 47  1]"
20,645.1419531146502,"[ 1 11 46 34 40 31 35 22 12  1  3 30 21 36 37  4 33  1 47 39 17 51 10 50
  6  1  5 18 43 45 16 38 13  1 28  9 27 32 29 23  2  1 49 24  8 44 25  7
 48  1 15 26 14 41 20 42 19  1]"
