id,distancia,rota
1,619.9068803306144,"[ 1 20 21 23 18 15 16 17  4  1 12 10 11 14  7  2  3  1 13  8  9  6  5 22
 19  1]"
2,641.6428676067467,"[ 1  7  2  3  4 16 17  1 15 18 23 21 20 19  1 13 12 14 11 10  1  8  9  6
  5 22  1]"
3,604.1535332966657,"[ 1 14 11 10  9  6  5 22  8  1 12  7  2  3  4 16 17  1 13 15 18 23 21 20
 19  1]"
4,616.8820049091926,"[ 1  3  4 17 16 15 18 23 21  1 19 20 22  5  6  9  8  1 13 12 10 11 14  7
  2  1]"
5,608.0540402021509,"[ 1 19 20 21 23 18 15 16 17  1 11 10  9  6  5 22  8  1  3  4  2  7 14 12
 13  1]"
6,624.2880367104915,"[ 1 12 10 11 14  7  2  4  3  1 17 16 15 18 23 21 20  1 19 22  5  6  9  8
 13  1]"
7,624.2880367104916,"[ 1  3  4  2  7 14 11 10 12  1 20 21 23 18 15 16 17  1 13  8  9  6  5 22
 19  1]"
8,644.7728264834234,"[ 1 19 20 21 23 18 15  2  7  1  8 22  5  6  9 10 11  1 17 16  4  3 14 12
 13  1]"
9,604.1535332966657,"[ 1  8 22  5  6  9 10 11 14  1 17 16  4  3  2  7 12  1 19 20 21 23 18 15
 13  1]"
10,611.3698751586941,"[ 1 19 20 21 23 18 15 16 17  1  3  4  2  7 14 12 13  1  8 11 10  9  6  5
 22  1]"
11,604.1535332966657,"[ 1 14 11 10  9  6  5 22  8  1 12  7  2  3  4 16 17  1 19 20 21 23 18 15
 13  1]"
12,604.1535332966658,"[ 1  8 22  5  6  9 10 11 14  1 17 16  4  3  2  7 12  1 13 15 18 23 21 20
 19  1]"
13,619.9068803306144,"[ 1  4 17 16 15 18 23 21 20  1 12 10 11 14  7  2  3  1 13  8  9  6  5 22
 19  1]"
14,620.2380959630003,"[ 1 19 20 21 23 18 15 16 17  1 22  5  6  9 10 14 12  1 13  3  4  2  7 11
  8  1]"
15,604.1535332966658,"[ 1  8 22  5  6  9 10 11 14  1 19 20 21 23 18 15 13  1 17 16  4  3  2  7
 12  1]"
16,608.0540402021508,"[ 1 19 20 21 23 18 15 16 17  1  3  4  2  7 14 12 13  1 11 10  9  6  5 22
  8  1]"
17,604.1535332966658,"[ 1 14 11 10  9  6  5 22  8  1 19 20 21 23 18 15 13  1 12  7  2  3  4 16
 17  1]"
18,618.9446551051133,"[ 1 13 12  7  2  3  4 16 17  1 22 19 20 21 23 18 15  1  8  9  5  6 10 11
 14  1]"
19,675.9674256061871,"[ 1 15 16 18 23 21 20  1  8  9  6  5 22 19  1 17  4  3  2  7  1 10 11 14
 12 13  1]"
20,644.0331718469545,"[ 1 19  3  4  2  7 14 12 13  1 17 16 15 18 23 21 20  1  8 22  5  6  9 10
 11  1]"
