id,distancia,rota
1,624.2880367104916,"[ 1  3  4  2  7 14 11 10 12  1 17 16 15 18 23 21 20  1 13  8  9  6  5 22
 19  1]"
2,628.8391189299,"[ 1 12 14 11  7  2  3  4 17  1 15 16 18 23 21 20 19  1  8 22  5  6  9 10
 13  1]"
3,624.2880367104916,"[ 1  3  4  2  7 14 11 10 12  1 17 16 15 18 23 21 20  1 13  8  9  6  5 22
 19  1]"
4,616.6319574860977,"[ 1 17 16  4  3  2  7 14 12  1 13 15 18 23 21 20 19  1  8 22  5  6  9 10
 11  1]"
5,619.9068803306144,"[ 1  4 17 16 15 18 23 21 20  1 13  8  9  6  5 22 19  1 12 10 11 14  7  2
  3  1]"
6,641.6428676067467,"[ 1  7  2  3  4 16 17  1 15 18 23 21 20 19  1 13 12 14 11 10  1 22  5  6
  9  8  1]"
7,604.1535332966658,"[ 1  8 22  5  6  9 10 11 14  1 12  7  2  3  4 16 17  1 13 15 18 23 21 20
 19  1]"
8,616.6319574860979,"[ 1 12 14  7  2  3  4 16 17  1 11 10  9  6  5 22  8  1 19 20 21 23 18 15
 13  1]"
9,616.6319574860978,"[ 1 17 16  4  3  2  7 14 12  1 13 15 18 23 21 20 19  1 11 10  9  6  5 22
  8  1]"
10,638.5954814112906,"[ 1  7  2  3  4 17 16 18 15  1 12  8 22 20 23 21 19  1 13 14 11 10  6  5
  9  1]"
11,626.596023237296,"[ 1 13 12 10 11 14  7  2  3  1  4 17 16 15 18 23 21  1 19 20 22  5  6  9
  8  1]"
12,624.4047912592048,"[ 1 13 12 14  7  2  3  4 17  1 15 16 18 23 21 20 19  1  8 22  5  6  9 10
 11  1]"
13,604.1535332966658,"[ 1 14 11 10  9  6  5 22  8  1 19 20 21 23 18 15 13  1 17 16  4  3  2  7
 12  1]"
14,608.0540402021508,"[ 1 17 16 15 18 23 21 20 19  1  3  4  2  7 14 12 13  1 11 10  9  6  5 22
  8  1]"
15,676.810230807863,"[ 1  7 14 11 10 12 13  1  2  3  4 17 16 15  1 19 20 21 23 18  1  8  9  6
  5 22  1]"
16,611.9263670697728,"[ 1 14 11 10  9  6  5 22  8  1 19 20 21 23 18 16 15  1 17  4  3  2  7 12
 13  1]"
17,642.9811642211698,"[ 1 15 18 16 17  4  3  2  7  1 13 14 12 21 23 20 19  1 11 10  9  6  5 22
  8  1]"
18,608.0540402021508,"[ 1 19 20 21 23 18 15 16 17  1  3  4  2  7 14 12 13  1 11 10  9  6  5 22
  8  1]"
19,604.153533296666,"[ 1  8 22  5  6  9 10 11 14  1 12  7  2  3  4 16 17  1 19 20 21 23 18 15
 13  1]"
20,604.1535332966658,"[ 1  8 22  5  6  9 10 11 14  1 13 15 18 23 21 20 19  1 17 16  4  3  2  7
 12  1]"
