id,distancia,rota
1,609.3777417189142,"[ 1 19 20 21 23 18 16 17 15  1  8 22  5  6  9 10 11  1  3  4  2  7 14 12
 13  1]"
2,638.5985370510605,"[ 1 15 18 16 17  4  3  2  7  1 19 21 23 20 22  5  6  1  8  9 10 11 14 12
 13  1]"
3,771.8331881746428,"[ 1  2  3  4 16 17  1  7 11 14 12 13  1  9  5  6 10  1 21 23 18 15  1  8
 22 20 19  1]"
4,631.6899342131201,"[ 1 13 12 14  7  2  3  4 15  1 19 20 21 23 18 16 17  1 22  5  6  9  8 10
 11  1]"
5,672.1057416677622,"[ 1  8 10 11 14 12 13  1  7  2  4 16 17  3  1 20 21 23 18 15  1  9  6  5
 22 19  1]"
6,614.6528071948776,"[ 1 19 20 21 23 18 16 17 15  1  3  4  2  7 11 14 12  1 22  5  6  9 10  8
 13  1]"
7,630.1392954337523,"[ 1 10 11 14  7  2  4 17  3  1 13 12  8  9  6  5 22  1 15 16 18 23 21 20
 19  1]"
8,649.4705938116515,"[ 1 15 16 17  4  7 14 12 13  1  2  3 18 23 21 20 19  1  8 22  5  6  9 10
 11  1]"
9,655.4276866533071,"[ 1  3 15 18 16 17  4  2  7  1 21 23 20 19 22  5  6  1  8  9 10 11 14 12
 13  1]"
10,628.8352964077721,"[ 1  3 17  4  2  7 14 12 13  1 15 16 18 23 21 20 19  1 22  5  6  9  8 10
 11  1]"
11,719.5448773511004,"[ 1  8 10 11 14 12 13  1 15 18  4  3  2  7  1 17 16 23 21 20  1  9  6  5
 22 19  1]"
12,670.1069746373721,"[ 1 13 12 10 11 14  7  1 15 18 23 21 20 19  1  2  3  4 16 17  1 22  5  6
  9  8  1]"
13,642.3198071358158,"[ 1 21 15 17 16 18 23 20 19  1 12 14 11  7  2  4  3  1 22  5  6  9 10  8
 13  1]"
14,645.994247058561,"[ 1 21 23 18 15 16 17  4  3  1 19 20 22 12  7  2 13  1 14 11 10  6  5  9
  8  1]"
15,618.9446551051132,"[ 1 13 12  7  2  3  4 16 17  1 22 19 20 21 23 18 15  1 14 11 10  6  5  9
  8  1]"
16,683.9275354409393,"[ 1 13 12  7 14 11  6  5  8  1 15 18 16 17  4  3  2  1 19 21 23 20 22  9
 10  1]"
17,792.0694982610642,"[ 1 16  4  3 14 11 13  1  7  2 17 15 18 23  1  9  5  6 10 12  1 21 20 19
 22  8  1]"
18,604.1535332966657,"[ 1 14 11 10  9  6  5 22  8  1 17 16  4  3  2  7 12  1 19 20 21 23 18 15
 13  1]"
19,720.8949291377367,"[ 1 14 11 10  6  5  9  1 19 20 21 23 18 15  1 17 16  4  3 12  1 22  8  7
  2 13  1]"
20,698.7392114141131,"[ 1  3 17  4  2  7 13  1 15 16 18 23 21 20  1 12 14 11 10 19  1  8  9  6
  5 22  1]"
